TEAM_ID,TEAM_NAME,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,PLAYER_NAMES,PTS_PER_MIN,AST_PER_MIN,TOV_PER_MIN,PACE
1610612764,Washington Wizards,-203114-203468-1641731-1642259-1642848-,K. Middleton - C. McCollum - B. Coulibaly - A. Sarr - T. Johnson,7,4,3,0.571,88.206667,89,177,0.503,23,57,0.404,36,41,0.878,20,60,80,51,23.0,20,17,237,18.0,"['K. Middleton', 'C. McCollum', 'B. Coulibaly', 'A. Sarr', 'T. Johnson']",2.686871730455477,0.5781875875663685,0.2607512649809113,107.76872455684104
1610612763,Memphis Grizzlies,-1628991-1629630-1630583-1642377-1642907-,J. Jackson Jr. - J. Morant - S. Aldama - J. Wells - C. Coward,12,5,7,0.417,86.718333,72,158,0.456,19,56,0.339,47,56,0.839,15,65,80,48,34.0,9,12,210,-35.0,"['J. Jackson Jr.', 'J. Morant', 'S. Aldama', 'J. Wells', 'C. Coward']",2.4216332664051556,0.5535161751783213,0.39207395741797757,110.0
1610612764,Washington Wizards,-203114-203468-1642259-1642267-1642273-,K. Middleton - C. McCollum - A. Sarr - B. Carrington - K. George,9,2,7,0.222,86.34,80,167,0.479,26,62,0.419,28,38,0.737,19,68,87,51,22.0,11,9,214,-6.0,"['K. Middleton', 'C. McCollum', 'A. Sarr', 'B. Carrington', 'K. George']",2.4785730831596013,0.590687977762335,0.25480657864257583,103.80542043085475
1610612757,Portland Trail Blazers,-201950-1630166-1630703-1641739-1642270-,J. Holiday - D. Avdija - S. Henderson - T. Camara - D. Clingan,11,7,4,0.636,85.833333,78,176,0.443,26,91,0.286,34,37,0.919,25,62,87,42,16.0,11,8,216,21.0,"['J. Holiday', 'D. Avdija', 'S. Henderson', 'T. Camara', 'D. Clingan']",2.5165048641417664,0.48932039024978796,0.18640776771420492,102.49444699997844
1610612754,Indiana Pacers,-1627783-1629614-1630174-1630643-1641716-,P. Siakam - A. Nembhard - A. Nesmith - J. Huff - J. Walker,9,1,8,0.111,85.501667,84,149,0.564,33,63,0.524,30,40,0.75,9,65,74,60,25.0,13,9,231,2.0,"['P. Siakam', 'A. Nembhard', 'A. Nesmith', 'J. Huff', 'J. Walker']",2.7017017106812666,0.7017407040730563,0.2923919600304401,102.51028205099206
1610612743,Denver Nuggets,-203501-203999-1627750-1631212-1642461-,T. Hardaway Jr. - N. Jokić - J. Murray - P. Watson - S. Jones,15,9,6,0.6,85.226667,90,164,0.549,28,69,0.406,55,68,0.809,22,60,82,55,20.0,10,7,263,32.0,"['T. Hardaway Jr.', 'N. Jokić', 'J. Murray', 'P. Watson', 'S. Jones']",3.085888598694115,0.6453379198789975,0.2346683345014536,108.09011221804555
1610612748,Miami Heat,-203952-1626181-1628389-1641796-1642857-,A. Wiggins - N. Powell - B. Adebayo - P. Larsson - K. Jakučionis,9,5,4,0.556,84.955,86,176,0.489,32,72,0.444,36,44,0.818,18,50,68,62,23.0,19,4,240,-19.0,"['A. Wiggins', 'N. Powell', 'B. Adebayo', 'P. Larsson', 'K. Jakučionis']",2.8250250132423047,0.7297981284209287,0.2707315637690542,110.0
1610612763,Memphis Grizzlies,-1628991-1629111-1642285-1642377-1642907-,J. Jackson Jr. - J. Landale - C. Spencer - J. Wells - C. Coward,13,5,8,0.385,84.935,74,159,0.465,24,63,0.381,29,36,0.806,25,57,82,45,28.0,9,5,201,-1.0,"['J. Jackson Jr.', 'J. Landale', 'C. Spencer', 'J. Wells', 'C. Coward']",2.3665155707305585,0.5298169188202743,0.3296638605992818,100.50415023253076
1610612750,Minnesota Timberwolves,-203944-1628978-1629675-1630162-1630183-,J. Randle - D. DiVincenzo - N. Reid - A. Edwards - J. McDaniels,28,13,15,0.464,84.896667,90,162,0.556,28,74,0.378,44,53,0.83,16,54,70,53,24.0,13,9,252,22.0,"['J. Randle', 'D. DiVincenzo', 'N. Reid', 'A. Edwards', 'J. McDaniels']",2.968314409798915,0.6242883480926289,0.28269661045703953,109.30181746710974
1610612761,Toronto Raptors,-1627742-1629628-1630193-1630567-1630572-,B. Ingram - R. Barrett - I. Quickley - S. Barnes - S. Mamukelashvili,24,16,8,0.667,84.745,69,159,0.434,19,66,0.288,47,55,0.855,19,61,80,51,20.0,18,7,204,10.0,"['B. Ingram', 'R. Barrett', 'I. Quickley', 'S. Barnes', 'S. Mamukelashvili']",2.4072216649949847,0.6018054162487462,0.23600212401911616,104.33181898637086
1610612752,New York Knicks,-1626157-1628404-1628969-1628973-1629013-,K. Towns - J. Hart - M. Bridges - J. Brunson - L. Shamet,15,11,4,0.733,84.216667,78,158,0.494,17,66,0.258,29,36,0.806,15,56,71,49,23.0,16,4,202,10.0,"['K. Towns', 'J. Hart', 'M. Bridges', 'J. Brunson', 'L. Shamet']",2.3985750944050066,0.5818325724051748,0.27310508500651065,103.64124241582726
1610612745,Houston Rockets,-201142-203991-1627827-1641708-1642263-,K. Durant - C. Capela - D. Finney-Smith - A. Thompson - R. Sheppard,23,13,10,0.565,83.543333,74,148,0.5,20,52,0.385,30,39,0.769,16,68,84,43,21.0,18,10,198,34.0,"['K. Durant', 'C. Capela', 'D. Finney', 'Smith', 'A. Thompson', 'R. Sheppard']",2.3700275400791107,0.5147029506232412,0.2513665572811178,97.76579059875431
1610612750,Minnesota Timberwolves,-201144-203944-1629675-1630162-1641740-,M. Conley - J. Randle - N. Reid - A. Edwards - J. Clark,24,14,10,0.583,83.443333,71,146,0.486,22,59,0.373,53,70,0.757,16,55,71,43,17.0,16,5,217,19.0,"['M. Conley', 'J. Randle', 'N. Reid', 'A. Edwards', 'J. Clark']",2.6005672616169346,0.5153197799517428,0.20373107579487507,102.27779372139895
1610612756,Phoenix Suns,-1628960-1630692-1631221-1642345-1642346-,G. Allen - J. Goodwin - C. Gillespie - O. Ighodaro - R. Dunn,14,10,4,0.714,83.025,70,163,0.429,38,99,0.384,12,21,0.571,26,44,70,53,21.0,18,6,190,22.0,"['G. Allen', 'J. Goodwin', 'C. Gillespie', 'O. Ighodaro', 'R. Dunn']",2.2884673291177355,0.6383619391749472,0.2529358626919602,96.68798554652213
